"DateTime","Players","Flags","Twitch Viewers"
"2016-05-25 00:00:00",,,138
"2016-05-26 00:00:00",,,101
"2016-05-27 00:00:00",,,816
"2016-05-28 00:00:00",,,4301
"2016-05-29 00:00:00",,,5740
"2016-05-30 00:00:00",,,4814
"2016-05-31 00:00:00",,,157
"2016-06-01 00:00:00",,,100
"2016-06-02 00:00:00",,,152
"2016-06-03 00:00:00",,,238
"2016-06-04 00:00:00",,,870
"2016-06-05 00:00:00",,,3394
"2016-06-06 00:00:00",,,95
"2016-06-07 00:00:00",,,91
"2016-06-08 00:00:00",,,225
"2016-06-09 00:00:00",,,237
"2016-06-10 00:00:00",,,324
"2016-06-11 00:00:00",,,103
"2016-06-12 00:00:00",,,61
"2016-06-13 00:00:00",,,72
"2016-06-14 00:00:00",,,93
"2016-06-15 00:00:00",2,,80
"2016-06-16 00:00:00",1,,100
"2016-06-17 00:00:00",1,,79
"2016-06-18 00:00:00",,,3991
"2016-06-19 00:00:00",,,2279
"2016-06-20 00:00:00",,,86
"2016-06-21 00:00:00",1,,108
"2016-06-22 00:00:00",1,,240
"2016-06-23 00:00:00",1,,110
"2016-06-24 00:00:00",1,,1641
"2016-06-25 00:00:00",,,1644
"2016-06-26 00:00:00",,,13224
"2016-06-27 00:00:00",1,,95
"2016-06-28 00:00:00",1,,89
"2016-06-29 00:00:00",1,,100
"2016-06-30 00:00:00",1,,78
"2016-07-01 00:00:00",1,,68
"2016-07-02 00:00:00",,,1906
"2016-07-03 00:00:00",,,2726
"2016-07-04 00:00:00",1,,3044
"2016-07-05 00:00:00",2,,51
"2016-07-06 00:00:00",2,,0
"2016-07-07 00:00:00",2,,0
"2016-07-08 00:00:00",2,,0
"2016-07-09 00:00:00",,,0
"2016-07-10 00:00:00",,,0
"2016-07-11 00:00:00",3,,0
"2016-07-12 00:00:00",2,,4
"2016-07-13 00:00:00",3,,0
"2016-07-14 00:00:00",2,,0
"2016-07-15 00:00:00",1,,117
"2016-07-16 00:00:00",,,15
"2016-07-17 00:00:00",,,0
"2016-07-18 00:00:00",,,0
"2016-07-19 00:00:00",2,,0
"2016-07-20 00:00:00",1,,0
"2016-07-21 00:00:00",1,,3
"2016-07-22 00:00:00",1,,0
