"DateTime","Players","Players Trend","Twitch Viewers"
"2021-05-24 05:10:00",14617,14773.155202821865,5724
"2021-05-24 05:20:00",14069,14771.573398919749,5639
"2021-05-24 05:30:00",13558,14769.474847056876,5513
"2021-05-24 05:40:00",13018,14767.38982583774,5536
"2021-05-24 05:50:00",12494,14764.971002810842,5246
"2021-05-24 06:00:00",11996,14762.67026289682,3251
"2021-05-24 06:10:00",11508,14760.66353891093,3267
"2021-05-24 06:20:00",11051,14757.638420414458,3135
"2021-05-24 06:30:00",10559,14752.835937499995,3228
"2021-05-24 06:40:00",10087,14748.497588734563,3244
"2021-05-24 06:50:00",9790,14744.689098324508,3525
"2021-05-24 07:00:00",9476,14740.436838624333,3679
"2021-05-24 07:10:00",9065,14736.526703042324,3577
"2021-05-24 07:20:00",8583,14732.697944223983,3616
"2021-05-24 07:30:00",8231,14729.444754464283,3580
"2021-05-24 07:40:00",7931,14726.177662037033,3577
"2021-05-24 07:50:00",7673,14723.084642305994,3333
"2021-05-24 08:00:00",7430,14718.361731150791,3360
"2021-05-24 08:10:00",6802,14713.073839836858,3322
"2021-05-24 08:20:00",6653,14710.558697089946,3196
"2021-05-24 08:30:00",6518,14708.387566137564,3093
"2021-05-24 08:40:00",6432,14706.677041997353,2976
"2021-05-24 08:50:00",6459,14705.165702160491,3056
"2021-05-24 09:00:00",6428,14703.5453042328,3018
"2021-05-24 09:10:00",6381,14701.686955742942,2906
"2021-05-24 09:20:00",6451,14699.844011794528,2545
"2021-05-24 09:30:00",6470,14697.231460813488,2597
"2021-05-24 09:40:00",6468,14694.880952380947,2632
"2021-05-24 09:50:00",6486,14692.198970734124,2724
"2021-05-24 10:00:00",6575,14689.372106481478,3667
"2021-05-24 10:10:00",6619,14685.997092702817,3307
"2021-05-24 10:20:00",6733,14682.351218033506,2677
"2021-05-24 10:30:00",6817,14678.51508763227,2951
"2021-05-24 10:40:00",6856,14674.352278990296,3150
"2021-05-24 10:50:00",6957,14670.016596395499,3339
"2021-05-24 11:00:00",7028,14665.33333333333,3439
"2021-05-24 11:10:00",7041,14660.1266878858,3542
"2021-05-24 11:20:00",7173,14655.381930665782,3614
"2021-05-24 11:30:00",7251,14650.060329861106,3783
"2021-05-24 11:40:00",7390,14645.144923941794,3781
"2021-05-24 11:50:00",7554,14640.033041225744,3736
"2021-05-24 12:00:00",7692,14634.599578373009,3899
"2021-05-24 12:10:00",7966,14628.715877149465,4453
"2021-05-24 12:20:00",8184,14622.009259259254,4648
"2021-05-24 12:30:00",8551,14615.47916666666,5115
"2021-05-24 12:40:00",8842,14607.938671186062,5010
"2021-05-24 12:50:00",9173,14599.97176063712,5293
"2021-05-24 13:00:00",9373,14591.578207671955,5613
"2021-05-24 13:10:00",9625,14583.67128940696,6138
"2021-05-24 13:20:00",9913,14575.691674933856,6313
"2021-05-24 13:30:00",10116,14567.272135416662,6816
"2021-05-24 13:40:00",10388,14558.889550264546,7137
"2021-05-24 13:50:00",10636,14550.299864969129,7384
"2021-05-24 14:00:00",10889,14541.491815476185,7568
"2021-05-24 14:10:00",11116,14532.765108300262,6748
"2021-05-24 14:20:00",11415,14524.776234567897,7200
"2021-05-24 14:30:00",11747,14516.923011739413,7365
"2021-05-24 14:40:00",12010,14508.733506944438,7801
"2021-05-24 14:50:00",12144,14500.502059909608,8119
"2021-05-24 15:00:00",12340,14492.713293650788,7806
"2021-05-24 15:10:00",12612,14485.313815861988,8250
"2021-05-24 15:20:00",12817,14477.513007054671,8466
"2021-05-24 15:30:00",13067,14470.239645337298,8721
"2021-05-24 15:40:00",13314,14463.092702821867,8890
"2021-05-24 15:50:00",13455,14455.324604552465,8952
"2021-05-24 16:00:00",13696,14448.423941798937,5958
"2021-05-24 16:10:00",13832,14441.53428819444,8771
"2021-05-24 16:20:00",14151,14435.96505731922,7861
"2021-05-24 16:30:00",14433,14430.33366402116,7809
"2021-05-24 16:40:00",14822,14424.591752094353,8140
"2021-05-24 16:50:00",15165,14418.753988921953,8834
"2021-05-24 17:00:00",15491,14412.170138888887,8828
"2021-05-24 17:10:00",15819,14405.50415426587,9161
"2021-05-24 17:20:00",16025,14398.629629629626,9705
"2021-05-24 17:30:00",16231,14391.843129960314,9890
"2021-05-24 17:40:00",16588,14385.524029982358,9913
"2021-05-24 17:50:00",16870,14379.193280147701,10162
"2021-05-24 18:00:00",17233,14372.677496693115,10116
"2021-05-24 18:10:00",17527,14365.217447916662,8469
"2021-05-24 18:20:00",17914,14358.065228174599,9003
"2021-05-24 18:30:00",18322,14351.065848214279,9072
"2021-05-24 18:40:00",18774,14344.18832671957,9459
"2021-05-24 18:50:00",19120,14336.983624063047,9728
"2021-05-24 19:00:00",19505,14329.913855820103,9820
"2021-05-24 19:10:00",19805,14321.658881723983,9966
"2021-05-24 19:20:00",20047,14313.233796296292,10502
"2021-05-24 19:30:00",20212,14304.486896494705,10764
"2021-05-24 19:40:00",20358,14295.51725088183,8723
"2021-05-24 19:50:00",20515,14286.648189484124,8233
"2021-05-24 20:00:00",20446,14276.941468253965,9277
"2021-05-24 20:10:00",20477,14267.695787863751,9436
"2021-05-24 20:20:00",20584,14258.529541446203,9780
"2021-05-24 20:30:00",20587,14249.323206018515,8380
"2021-05-24 20:40:00",20589,14240.170938051142,8927
"2021-05-24 20:50:00",20513,14230.713831018515,9227
"2021-05-24 21:00:00",20360,14220.629381613755,9226
"2021-05-24 21:10:00",20329,14210.984395667989,7601
"2021-05-24 21:20:00",20017,14200.785356040564,8057
"2021-05-24 21:30:00",19820,14191.5013640873,8356
"2021-05-24 21:40:00",19781,14182.923611111111,8775
"2021-05-24 21:50:00",19582,14173.842427248675,8728
"2021-05-24 22:00:00",19480,14165.495205026453,8944
"2021-05-24 22:10:00",19166,14155.240940531305,9111
"2021-05-24 22:20:00",19127,14145.376653439153,8961
"2021-05-24 22:30:00",19109,14136.167431382273,8898
"2021-05-24 22:40:00",19039,14126.260733575833,8998
"2021-05-24 22:50:00",18935,14116.427469135797,9122
"2021-05-24 23:00:00",18870,14107.381944444442,9126
"2021-05-24 23:10:00",18802,14099.080274470896,9171
"2021-05-24 23:20:00",18788,14090.342523699292,9839
"2021-05-24 23:30:00",18809,14072.029389880947,10248
"2021-05-24 23:40:00",18878,14062.307870370365,10229
"2021-05-24 23:50:00",18907,14054.11770419973,10147
"2021-05-25 00:00:00",19007,14046.919560185179,10428
"2021-05-25 00:10:00",19063,14039.688726300701,10851
"2021-05-25 00:20:00",19183,14032.495370370363,9865
"2021-05-25 00:30:00",19364,14026.205481150786,9643
"2021-05-25 00:40:00",19450,14020.194637345674,9381
"2021-05-25 00:50:00",19598,14015.018408289236,9749
"2021-05-25 01:00:00",19927,14010.40261243386,9586
"2021-05-25 01:10:00",20050,14004.76591435185,9670
"2021-05-25 01:20:00",20144,13999.83759093915,9938
"2021-05-25 01:30:00",20312,13995.758246527774,9970
"2021-05-25 01:40:00",20352,13992.032076719574,10066
"2021-05-25 01:50:00",20393,13988.18307016093,10082
"2021-05-25 02:00:00",20406,13984.843005952376,9735
"2021-05-25 02:10:00",20551,13981.858672288354,8493
"2021-05-25 02:20:00",20520,13978.020447530856,8686
"2021-05-25 02:30:00",20468,13974.10594411375,8971
"2021-05-25 02:40:00",20310,13970.99056161816,9187
"2021-05-25 02:50:00",20144,13968.463142085533,9451
"2021-05-25 03:00:00",19881,13966.595734126979,9513
"2021-05-25 03:10:00",19626,13964.871720679006,9442
"2021-05-25 03:20:00",19375,13963.291335978829,9218
"2021-05-25 03:30:00",19072,13961.662326388883,9363
"2021-05-25 03:40:00",18791,13960.025270061724,9383
"2021-05-25 03:50:00",18421,13958.09715332892,9127
"2021-05-25 04:00:00",18090,13955.942005621688,7974
"2021-05-25 04:10:00",17597,13953.595617008374,6641
"2021-05-25 04:20:00",17060,13951.085207231037,4452
"2021-05-25 04:30:00",16489,13949.039475859787,4877
"2021-05-25 04:40:00",16055,13947.951485339505,4834
"2021-05-25 04:50:00",15657,13947.271157131832,4907
"2021-05-25 05:00:00",15196,13946.021577380947,4678
"2021-05-25 05:10:00",14652,13944.813891644619,4748
"2021-05-25 05:20:00",14044,13942.93744488536,4641
"2021-05-25 05:30:00",13538,13942.111503802907,3635
"2021-05-25 05:40:00",12950,13940.961033950614,3591
"2021-05-25 05:50:00",12457,13940.268518518515,3683
"2021-05-25 06:00:00",11983,13939.970279431216,3674
"2021-05-25 06:10:00",11294,13938.750020667987,3781
"2021-05-25 06:20:00",10498,13936.797646604937,3048
"2021-05-25 06:30:00",10083,13936.52052331349,2967
"2021-05-25 06:40:00",9668,13936.400228725746,2824
"2021-05-25 06:50:00",9280,13936.091586750437,2843
"2021-05-25 07:00:00",9012,13935.585648148146,2857
"2021-05-25 07:10:00",8659,13934.63518242945,2910
"2021-05-25 07:20:00",8278,13933.727196318341,2826
"2021-05-25 07:30:00",7926,13933.283213458992,2818
"2021-05-25 07:40:00",7646,13933.15010471781,2744
"2021-05-25 07:50:00",7076,13932.478202160493,2956
"2021-05-25 08:00:00",6835,13932.559771825396,3017
"2021-05-25 08:10:00",6671,13933.653935185182,2841
"2021-05-25 08:20:00",6561,13934.79998897707,3050
"2021-05-25 08:30:00",6500,13936.104931382275,2883
"2021-05-25 08:40:00",6421,13937.447131283068,2804
"2021-05-25 08:50:00",6408,13938.527564208553,2493
"2021-05-25 09:00:00",6353,13939.279927248677,2608
"2021-05-25 09:10:00",6301,13939.85504850088,2644
"2021-05-25 09:20:00",6230,13939.92110339506,2722
"2021-05-25 09:30:00",6306,13939.882316468253,2643
"2021-05-25 09:40:00",6243,13939.165564373896,2550
"2021-05-25 09:50:00",6221,13938.874490189595,2572
"2021-05-25 10:00:00",6207,13938.59089781746,2477
"2021-05-25 10:10:00",6201,13938.058690200618,3124
"2021-05-25 10:20:00",6280,13937.386050485009,3169
"2021-05-25 10:30:00",6316,13936.441840277777,2444
"2021-05-25 10:40:00",6334,13935.372946979718,2712
"2021-05-25 10:50:00",6397,13934.333932705027,2902
"2021-05-25 11:00:00",6430,13933.033234126986,3146
"2021-05-25 11:10:00",6532,13932.071938381836,3249
"2021-05-25 11:20:00",6590,13930.746610449736,3369
"2021-05-25 11:30:00",6740,13929.537181712964,3297
"2021-05-25 11:40:00",6833,13927.843364197532,3326
"2021-05-25 11:50:00",6936,13926.14204420194,3584
"2021-05-25 12:00:00",6971,13924.161706349209,3914
"2021-05-25 12:10:00",7102,13922.028783619931,4488
"2021-05-25 12:20:00",7296,13919.758818342152,4904
"2021-05-25 12:30:00",7436,13916.888392857145,5156
"2021-05-25 12:40:00",7601,13914.136243386245,5594
"2021-05-25 12:50:00",7844,13911.638647762347,5970
"2021-05-25 13:00:00",8126,13909.21808862434,5948
"2021-05-25 13:10:00",8399,13906.39631558642,6741
"2021-05-25 13:20:00",8620,13903.027708884481,7213
"2021-05-25 13:30:00",8852,13900.132481812168,7685
"2021-05-25 13:40:00",9120,13897.514936067018,8139
"2021-05-25 13:50:00",9336,13894.56611689815,8551
"2021-05-25 14:00:00",9640,13891.702256944445,8791
"2021-05-25 14:10:00",10017,13888.632709160052,9046
"2021-05-25 14:20:00",10298,13885.507605820105,7985
