"DateTime","Players","Players Trend","Twitch Viewers"
"2021-05-24 16:10:00",21180,16339.131000606263,65734
"2021-05-24 16:20:00",21379,16338.34286816579,61955
"2021-05-24 16:30:00",21588,16338.24696180556,72367
"2021-05-24 16:40:00",21829,16338.345610119053,81439
"2021-05-24 16:50:00",22081,16338.560660548947,88243
"2021-05-24 17:00:00",22667,16338.840277777783,106840
"2021-05-24 17:10:00",23513,16338.745439263674,125862
"2021-05-24 17:20:00",23937,16338.468433090833,124736
"2021-05-24 17:30:00",24157,16336.829716435188,125310
"2021-05-24 17:40:00",24312,16335.28174603175,122138
"2021-05-24 17:50:00",24389,16333.91378692681,109592
"2021-05-24 18:00:00",24406,16332.689856150795,100424
"2021-05-24 18:10:00",24514,16331.581259645063,96546
"2021-05-24 18:20:00",24559,16330.17642195767,95651
"2021-05-24 18:30:00",24467,16328.611545138887,90075
"2021-05-24 18:40:00",24491,16327.467372134037,94573
"2021-05-24 18:50:00",24588,16326.59620949074,91771
"2021-05-24 19:00:00",24588,16325.160383597882,118216
"2021-05-24 19:10:00",24553,16323.283902391975,119414
"2021-05-24 19:20:00",24437,16321.339891975309,120032
"2021-05-24 19:30:00",24362,16319.92602926587,129131
"2021-05-24 19:40:00",24101,16317.600529100526,135541
"2021-05-24 19:50:00",23925,16315.466579861108,137646
"2021-05-24 20:00:00",23681,16313.321676587297,131604
"2021-05-24 20:10:00",23288,16310.73737185846,140786
"2021-05-24 20:20:00",22872,16307.80191798941,138957
"2021-05-24 20:30:00",22434,16304.650318287033,138659
"2021-05-24 20:40:00",21962,16301.776207010578,127730
"2021-05-24 20:50:00",21539,16299.228966876099,102713
"2021-05-24 21:00:00",21135,16296.437830687828,97186
"2021-05-24 21:10:00",20726,16292.72403411596,95081
"2021-05-24 21:20:00",20237,16287.73881172839,96325
"2021-05-24 21:30:00",19702,16282.302517361108,104500
"2021-05-24 21:40:00",19277,16276.557098765428,103418
"2021-05-24 21:50:00",18830,16269.97321428571,100734
"2021-05-24 22:00:00",18414,16263.892071759255,90472
"2021-05-24 22:10:00",17900,16256.589499283504,87309
"2021-05-24 22:20:00",17548,16248.788084215163,91113
"2021-05-24 22:30:00",17199,16240.942294973542,87226
"2021-05-24 22:40:00",16926,16232.897872574951,52952
"2021-05-24 22:50:00",16641,16224.35556520061,61586
"2021-05-24 23:00:00",16316,16216.25198412698,65812
"2021-05-24 23:10:00",15999,16208.269655257933,67108
"2021-05-24 23:20:00",15756,16200.43730709876,62902
"2021-05-24 23:30:00",15475,16159.674437830681,62718
"2021-05-24 23:40:00",15170,16147.954365079357,60048
"2021-05-24 23:50:00",14946,16139.490878527331,58247
"2021-05-25 00:00:00",14689,16131.183738425922,56678
"2021-05-25 00:10:00",14508,16123.17170965608,54456
"2021-05-25 00:20:00",14330,16115.724096119924,56065
"2021-05-25 00:30:00",14281,16109.974826388883,56349
"2021-05-25 00:40:00",14147,16104.347594246028,52086
"2021-05-25 00:50:00",13993,16099.210165895056,51609
"2021-05-25 01:00:00",13976,16094.993220899467,49291
"2021-05-25 01:10:00",13876,16091.052179783946,42115
"2021-05-25 01:20:00",13793,16087.478339947087,44219
"2021-05-25 01:30:00",13775,16084.868055555551,42335
"2021-05-25 01:40:00",13799,16082.616953262785,39682
"2021-05-25 01:50:00",13725,16080.63423170194,40324
"2021-05-25 02:00:00",13688,16078.688988095237,40107
"2021-05-25 02:10:00",13596,16076.186191027333,39487
"2021-05-25 02:20:00",13464,16074.0574845679,38518
"2021-05-25 02:30:00",13228,16071.792803406082,38190
"2021-05-25 02:40:00",13103,16070.24736827601,34018
"2021-05-25 02:50:00",13086,16069.326781580685,34697
"2021-05-25 03:00:00",12734,16067.217757936505,34274
"2021-05-25 03:10:00",12493,16065.682532793206,29615
"2021-05-25 03:20:00",12337,16064.001364087298,26289
"2021-05-25 03:30:00",12134,16061.962673611108,24985
"2021-05-25 03:40:00",11921,16059.173941798937,25555
"2021-05-25 03:50:00",11727,16056.246562224424,24438
"2021-05-25 04:00:00",11521,16053.633060515871,24230
"2021-05-25 04:10:00",11345,16051.404934138003,21965
"2021-05-25 04:20:00",11189,16048.850749559078,21114
"2021-05-25 04:30:00",11026,16045.843047288357,21604
"2021-05-25 04:40:00",10859,16042.44020061728,21908
"2021-05-25 04:50:00",10714,16039.281243110667,21018
"2021-05-25 05:00:00",10655,16036.274305555551,21298
"2021-05-25 05:10:00",10441,16032.809792493383,20842
"2021-05-25 05:20:00",10297,16030.082823522924,21270
"2021-05-25 05:30:00",10178,16027.543795469574,21301
"2021-05-25 05:40:00",9919,16024.906194885358,18014
"2021-05-25 05:50:00",9774,16023.28144290123,18147
"2021-05-25 06:00:00",9612,16022.085565476187,19763
"2021-05-25 06:10:00",9527,16021.570043816133,18752
"2021-05-25 06:20:00",9531,16021.238536155197,18932
"2021-05-25 06:30:00",9576,16021.524119543647,19513
"2021-05-25 06:40:00",9604,16021.784763558197,19785
"2021-05-25 06:50:00",9523,16022.24100253527,16742
"2021-05-25 07:00:00",9505,16022.91666666666,12448
"2021-05-25 07:10:00",9523,16024.22608713624,12620
"2021-05-25 07:20:00",9548,16026.05624448853,12497
"2021-05-25 07:30:00",9618,16028.180679563488,11971
"2021-05-25 07:40:00",9721,16030.035438712517,11824
"2021-05-25 07:50:00",9903,16031.736462466928,11573
"2021-05-25 08:00:00",10047,16033.011780753965,11444
"2021-05-25 08:10:00",10340,16034.491849922833,12415
"2021-05-25 08:20:00",10436,16035.231646825392,12761
"2021-05-25 08:30:00",10610,16036.148416832004,12421
"2021-05-25 08:40:00",10640,16036.863467261901,13870
"2021-05-25 08:50:00",10860,16038.469838514106,14344
"2021-05-25 09:00:00",11016,16039.894097222215,14104
"2021-05-25 09:10:00",11242,16041.069561563047,13176
"2021-05-25 09:20:00",11428,16040.66946373456,14182
"2021-05-25 09:30:00",11584,16038.818204365074,14668
"2021-05-25 09:40:00",11826,16036.808201058197,14401
"2021-05-25 09:50:00",11997,16034.451416446202,15140
"2021-05-25 10:00:00",12214,16032.213872354492,15182
"2021-05-25 10:10:00",12432,16029.732597552906,15909
"2021-05-25 10:20:00",12712,16027.10488315696,15484
"2021-05-25 10:30:00",12889,16024.388599537033,15059
"2021-05-25 10:40:00",13172,16022.178681657842,16514
